gpset_set	ERROR prog case halted (no result — runtime error?)
gpset_neighbor	0
gpset_inline	ERROR prog case halted (no result — runtime error?)
gline_endpoints	ERROR prog case halted (no result — runtime error?)
gline_mid	ERROR prog case halted (no result — runtime error?)
gline_off	0
gbox_corner	ERROR prog case halted (no result — runtime error?)
gbox_edges	ERROR prog case halted (no result — runtime error?)
gbox_interior	0
gtri_vertex	ERROR prog case halted (no result — runtime error?)
gtri_interior	ERROR prog case halted (no result — runtime error?)
gtri_outside	0
gcircle_edge	ERROR prog case halted (no result — runtime error?)
gcircle_center	0
gcircle_sector	ERROR prog case halted (no result — runtime error?)
